Prices
27.43703
24.3
29.77032
28.60265
24.58964
27.96721
27.82
24.81493
29.7
22.77314
28.26199
27.82
24.97438
29.7
20.53356
28.02863
27.82
25.1368
29.7
21.33405
28.02912
27.74008
25.06542
29.7
18.44123
28.22927
27.74008
24.88131
29.7
17.19767
28.18591
27.29146
24.48
29.0145
15.87422
27.5381
27.03
24.40317
28.34087
15.306
27.07083
27.04
24.40748
28.33755
15.30282
27.06767
27.03
24.45008
27.36789
11.81136
26.37761
24.52874
22.13
24.8476
9.01663
23.95097
26.3306
23.59361
26.5198
21.61127
25.69564
27.03
24.2248
27.56186
23.37077
26.86352
27.66616
24.48
29.14175
25.62157
28.74403
27.8196
24.48
29.56007
26.05096
29.16698
27.03
23.71272
28.04662
25.29241
28.12431
27.03
23.71441
28.74427
25.23563
28.36388
27.03
23.71044
29.35177
25.51619
28.34474
22.80714
20
24.90589
20.72822
23.92405
26.3306
22.61494
27.98125
24.03386
27.16043
27.03
23.20377
28.82977
24.70461
27.83097
22.59999
19.93
23.67475
20.71303
23.10049
27.03
23.12866
28.17625
27.23077
27.64419
22.9242
19.92
23.67279
20.7263
23.22159
22.7812
19.92
23.52606
22.50771
23.07561
24.3418
20
24.51005
22.5061
21.7692
25.35992
20
25.17318
24.0663
20.73667
20.98162
18.46687
20.69199
18.30699
20.73667
20.35843
18.39736
19.80928
19.37306
19.95667
18.03
16.16737
17.26431
17.50511
17.67939
18.01992
16.15804
17.12224
17.35174
17.52871
17.40807
15.81922
16.01146
16.01858
16.66104
17.28664
15.70648
15.95844
16.51015
16.70187
14.90241
13.62558
13.49694
14.04502
14.28
15.52
14.37768
13.93801
14.66637
14.74419
15.52
14.37768
14.01976
14.67228
14.74997
15.52
14.18073
13.97895
14.59431
14.62598
15.52
14.37556
13.91154
14.44665
14.63667
15.52
14.47766
14.21402
14.3953
14.62413
16.078
15.1
14.94052
15.07383
15.29076
14.96813
13.77283
13.70095
13.85167
14.09004
15.29694
14.17287
13.96326
14.04502
14.28
15.52
14.3734
13.97351
13.90813
14.3694
15.41168
14.18018
13.80675
13.81737
14.28
15.52
14.37687
13.73454
13.81737
14.28
15.39461
14.16672
13.50497
13.81737
14.28
15.28284
14.15631
13.26335
13.21584
14.18
15.52
14.28099
13.27832
14.03817
14.27327
15.52
14.47823
13.56596
13.79389
14.25687
15.5494
14.41263
13.67086
12.00984
14.29
15.54486
14.409
13.59504
11.96984
14.29
15.56757
14.43047
13.35111
13.726
14.19
15.5
14.35916
13.20161
13.68858
14.19
15.5
14.35
13.07569
12.06756
14.13244
15.63256
14.489
13.00402
11.81159
14.13371
14.91164
14.10321
12.64713
13.11802
13.59114
15.32843
14.35
13.18437
12.07882
14.09004
15.85678
15
